Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
15.0,267.00145994082965,69.99856212630633,1103.528005497587,2.7118447887731403,8.96240734117815,2.714430883019809,21.06165725176865,0.7330279631928209,3.3255309245103373,3.2374169895370595
16.0,76.50877916512263,26.92900076596689,1068.8103868037467,42.63453091309738,98.48994863917058,54.53555746607977,231.45137930205087,0.07152096983523626,0.8193426238971777,1.5010654737805453
17.0,-236.98368863544732,248280162.75079784,1082.286721228761,234492.8565823029,2.385312947688159,618482.721171155,5.6054854270671735,0.0,-2.825642336956626,-4.671764903712452
18.0,739.3791294367161,17646023.104956396,1081.3143660051248,7344.91013342017,2.6030877146830544,18343.074265533025,6.117256129505178,0.0,8.985860272609457,19.435613300970836
20.0,105.62340055664517,inf,1086.4396121867726,inf,0.7482325906562606,inf,1.7583465880422124,0.0,1.4603788042948493,1.6006544051100562
21.0,130.0720071493848,5919976960564.686,1085.5591408941305,74832051549.05676,1.42631873506372,14762056525.339907,3.3518490273997426,0.0,2.2402432353076995,2.5547586476876485
22.0,214.67323359984275,89.58659278190332,1076.463591364798,4.552667999184369,9.388409569607262,4.493790558161964,22.062762488577068,0.9270192548654602,2.3859255315055363,3.587088483999052
23.0,506.6106726037293,6961170.931927641,1101.206716647911,421.4749585032002,2.743061213199347,12343.091959587357,6.4461938510184655,0.9999958988049901,5.23782508712807,8.900007181209302
24.0,877.5903355179273,26707718.746656902,1102.372325759853,19711.27778412736,2.416444577572689,19644.49159481257,5.678644757295819,0.0,9.951403048607105,23.093914979380724
25.0,871.3815938570752,7187195.200157887,1081.1771820132662,3402.606270561644,2.6607927378285234,6866.396759925647,6.25286293389703,0.0,7.736114607203263,20.971817080536024
26.0,164.22593819932322,73.63903986523947,1094.7282384948594,4.855347058352155,9.34158461029517,4.818954325672687,21.95272383419365,0.7536793337501171,2.446276738528888,3.606507687273078
27.0,69.48095414049959,348010325313.09357,1086.3509731790236,28256147003.394543,1.3497839709106134,4607290265.900546,3.1719923316399417,0.0,0.961351333562858,1.035795229825462
28.0,237.69849517560291,50.38759387877589,1096.7125859451958,2.1085186170084675,5.6863731149397205,1.3243975433369155,13.362976820108344,0.9998177094854026,2.728646595662382,2.6311627438876894
29.0,119.74505362406717,63.41120436197268,1088.0104646850646,8.32561496687722,13.61205253378,8.325715668675416,31.988323454383,0.17847290274805216,1.4838441047324553,2.399148970218444
31.0,131.47993587193483,46.21992616030014,1052.17598019146,17.19957667617599,42.39003392888414,17.248398293492478,99.61657973287772,0.14532849243375567,1.3372998931462348,3.11589170299885
32.0,140.3427699911421,53.89144905416453,1086.7799741101014,3.837653427829324,5.703410891946773,2.3897755787094663,13.403015596074917,0.9977196471030837,1.7828581405466368,5.413040575459668
33.0,196.84579616656978,102.25358389425631,1097.9488072216382,4.592968882022366,7.144316250189467,4.153775967474828,16.78914318794525,0.9797502796837142,2.8735543086261113,2.598672911179394
34.0,109.10589298918558,43.23625370151917,1090.1159618506133,7.371249593569783,16.10867698555841,7.371122555792483,37.85539091606227,0.11349846700459654,1.384753489162001,1.785979621209286
36.0,172.5757056374593,53.01088278977203,1114.845838041519,7.772727298894093,21.919906059164994,7.772486770430091,51.511779239037736,0.3321373778330049,2.0075662556093463,2.5342114104533873
37.0,248.97804890278456,62.45709473376975,1098.3392814926178,2.0744402512413,6.630355718079782,1.9101130228041665,15.581335937487488,0.9988355442733775,2.767920046419878,4.006604731908273
38.0,97.0843479847127,39.27370477829383,1103.015853580186,6.547254918122833,14.01490775884732,6.547479200391907,32.9350332332912,0.735715622027867,1.7997984956499216,2.702745774527431
