Point,Height,Mean,Sigma,FWHM,R^2,SNR
60.0,1219.078141098252,1068.420185941294,2.4055801266407233,5.6531132976057,-inf,90.91681255671605
62.0,-56.52011192517057,1083.420658004744,0.2951981866760036,0.6937157386886085,-inf,-4.215175589118528
63.0,152.2551233785507,996.3026539009679,-73.25895832688124,-172.15855206817093,,11.354932917209714
64.0,228.70264269373072,1035.6587330574298,36.138522639659435,84.92552820319968,0.5062386294299734,17.05626128139698
65.0,298.44025240730997,1043.0263884345984,36.415580606231735,85.57661442464457,0.6201270164854316,22.257175789445654
66.0,997.3714688152609,1019.3334519628797,-19.40629006580389,-45.60478165463915,,74.38229906903517
67.0,377.51597687336,1065.190576755972,41.22808598369517,96.88600206168366,-0.5672946812703705,28.15451130609238
68.0,176.59854311177463,1086.3531730825935,15.377288371027007,36.136627671913466,0.5191615206304523,13.170424520464215
69.0,226.11512757418538,1098.1791610778434,-2.56888697163853,-6.036884383350546,,16.863288723543192
70.0,59.89223312558121,1045.1231773410318,65.36312791555171,153.60335060154654,0.08500676717324684,4.466662758612081
71.0,130.2107560961843,1093.4968258497233,7.709848535012326,18.11814405727897,0.29762690937435143,9.710900807556145
72.0,72.58266934515426,1053.478370999968,29.295215617418773,68.84375670093412,0.21945788124721533,5.413094305648486
73.0,155.20966181071148,1033.9024148381952,35.29095489330959,82.93374399927754,0.1967133194872167,11.575277460986358
74.0,135.57902889821736,1085.916510212854,13.083990424912347,30.747377498544015,0.5070757426548516,10.111257630996572
75.0,103.6415633775327,1057.3952738217924,17.290057864907958,40.6316359825337,0.5160820889003619,7.729414770895081
76.0,39.19151288381871,1100.396633559131,-9.344431539721143,-21.959414118344686,,2.922837602077136
77.0,181.08938151891974,1074.9694432638596,5.21348479971263,12.25168927932468,0.9999771632974737,13.505343751578545
78.0,135.47865928563957,1088.2448536295062,-0.2244856478853271,-0.5275412725305187,,10.103772232853919
79.0,657.1500541645246,1077.4903885455337,2.4950486169090333,5.863364249736229,-inf,49.00915395159779
80.0,114.64385563446102,1095.6694877260632,4.668482442760854,10.970933740488007,0.9999997063301681,8.549947359492075
81.0,135.4059697291141,1088.6908817170258,2.840253659674461,6.674596100234983,0.9999998251758199,10.098351167080807
82.0,-1246.996508337753,1082.753075215228,-4.190086035378734,-9.846702183140025,,-92.99891777674452
83.0,68.70095915172229,1070.0378443565203,18.894565955176844,44.40222999466559,0.44222085337853123,5.123602839795597
84.0,147.6124891401388,1066.5892156197801,9.339157333464145,21.947019733640744,0.9849005331247445,11.008693006417097
85.0,288.962270898632,1074.4622116772593,5.387213511105996,12.65995175109909,0.9999952392386082,21.5503237516721
86.0,103.5410667398814,1068.5989170614123,28.723597165091917,67.50045333796601,0.3996937181402055,7.72191989943451
87.0,589.3175770318953,1087.791871241497,2.460757891219029,5.782781044364718,-inf,43.95032105088716
88.0,127.23053523214337,1084.4844370217006,1.2613776582840395,2.9642374969674927,-inf,9.488640910885758
90.0,52.97250001510512,998.9797248170313,66.82348556722926,157.03519108298875,0.06821820485048102,3.950600615474243
91.0,213.06606866373653,1081.3111259139937,7.55742364095434,17.7599455562427,0.9822958630004701,15.890111694928741
92.0,33.24744100494727,1082.992806439944,1.2931532795025984,3.0389102068311065,-inf,2.479538644761613
93.0,311.456474170075,1087.9703919255048,2.5015548227834064,5.878653833541005,-inf,23.227903878406263
94.0,653.5650105523591,1059.0540753802543,2.4756238794130687,5.817716116620712,0.9999999741851545,48.74178738410174
95.0,72.29147615371234,1037.2794266638402,66.72516953768411,156.80414841355767,0.11576453489376348,5.391377603567136
96.0,290.1258584557214,1087.9762160367545,2.6990012607794105,6.342652962831615,0.9999999762915647,21.637102169112936
97.0,384.00257086485266,1088.1472218145996,2.7334248380040984,6.423548369309631,0.9999804098514132,28.638270656846363
98.0,25.53079289229526,1084.4825565990143,-0.9080864234961515,-2.1340030952159563,,1.9040439111819578
99.0,354.9017328009819,1077.4510104787378,2.3977573800841023,5.634729843197641,-inf,26.46797873682821
