BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 46,250.88508778591458,17.433919853324667,1090.6016998228906,1.9568784680182008,13.428117834600853,2.0917849555657906,31.556076911312005,0.8161608805090863,7.118486149334837
,Point 49,221.09956842533873,51.3023848197835,1079.9850804550176,3.3729551418507304,12.268305446377397,4.272479327858626,28.830517798986886,0.597709071240436,5.227764026535417
,Point 50,220.63606791131747,0.0,1090.0,0.0,16.0,0.0,37.6,0.618367283901337,5.642541073609571
,Point 51,320.0092371486903,9.346955735141728,1077.7200232615455,0.3404683033760718,9.874096014924179,0.3782217121242337,23.204125635071822,0.9971312697802314,9.248491758966688
,Point 55,213.76411544305142,22.31247415079518,1082.3159703230467,1.3197152885361367,10.98277732283283,1.5288770902157742,25.80952670865715,0.9463380885950786,6.067559287434123
,Point 57,395.0925632567428,5.552053862978114,1089.4032847759418,0.4072645800697162,14.608918769772972,0.4695116759658983,34.33095910896648,0.8055905008717335,10.889543668844622
,Point 61,252.06473629528696,4.824213722107152,1091.2451210235,0.8125773736104536,15.79543825315718,0.8461520144616077,37.11927989491937,0.8994737949432843,7.420912351817579
,Point 63,296.52323696106066,19.47822162981888,1090.9551216912348,1.1622297364161407,10.592493045819408,1.3043140520820953,24.892358657675608,0.4713358746201579,8.252533826796084
,Point 64,183.49034528813345,14.884400870376812,1090.1563010147045,5.422572357672294,21.169572259727875,7.036302121513382,49.74849481036051,0.674825061544905,4.7955073280990606
,Point 65,218.6385406785697,62.53448273730768,1080.3566552614036,7.637860375679185,18.888920418534067,14.986924456115519,44.38896298355506,0.7637570015313937,4.7492359692870965
,Point 66,261.1638529965746,62.39889924228024,1089.7264672451913,7.4483940160156745,14.860503232945408,8.450495839354867,34.92218259742171,0.6717485766926454,6.860809898644281
,Point 69,145.93294667551277,0.0,1085.0095663656105,0.0,22.0,0.0,51.7,0.6282000550166332,4.2106831285868855
,Point 70,206.5231349967999,19.980632885104853,1090.628589403671,6.1800945312385,20.13293487323212,7.4788058788015865,47.31239695209548,0.7808493450701144,4.540909058095309
,Point 72,306.0633100192035,16.26243161866827,1085.7050811106935,0.8027716546586823,12.062825013835548,0.9904825572190851,28.34763878251354,-0.35771692722229687,8.325590443351109
,Point 73,296.4399279558316,51.17863083068436,1084.7719894580655,5.094094130137646,18.94353788772188,9.320382062050161,44.51731403614642,0.8276905544099241,8.497632208052865
,Point 74,256.10969264876707,2.7751803415062635,1092.8991183962587,0.460214870137981,14.19758062375741,0.4265992276532588,33.364314465829914,0.6088404046904083,6.929491953645898
,Point 76,249.5929578986822,1.4768177963375753,1096.2813033190484,0.6745707636162399,24.099102099055397,0.6163936464362245,56.63288993278019,0.3865088385462747,6.638694496846004
,Point 77,253.10178455473073,10.133275942020903,1092.3440464249982,0.8315845287158176,10.352739611625802,0.8894510889608925,24.328938087320637,0.7734535712777741,6.026233254944856
,Point 80,275.7229954596188,17.25874612095645,1088.0019925000727,2.2682882352591562,17.71695071780143,3.1240392267200625,41.634834186833366,0.8937234272964307,7.26909161184055
,Point 82,288.36815404223404,15.418792018750782,1080.74037913936,0.5410737502199455,8.905023019362503,0.5738638724449394,20.926804095501883,0.9919510725532336,6.349653973300348
,Point 83,209.72848242214556,10.86337984385369,1080.0547577748005,0.6205753523647869,10.378292819121297,0.6949858896921779,24.38898812493505,0.9884587753671432,5.880586280287317
,Point 84,232.34693837111212,50.0826898581711,1080.7715771993724,2.63794269918277,10.630731984768607,2.9905571962783877,24.98222016420623,0.811408718771794,5.343056884565018
,Point 86,271.8258647651609,99.42861908811403,1088.8847781357222,9.069687053665938,13.920775799910443,10.659476639249386,32.71382312978954,0.4031730968260675,7.58194590113361
,Point 87,200.92312072778296,21.148979667001374,1076.56761855213,1.6714171423671838,11.913392242437876,2.0160906705305064,27.99647176972901,0.7476540446313957,5.0400244635866045
,Point 88,208.06160013952984,0.0,1096.0,0.0,25.0,0.0,58.75,0.16411968174734048,5.5559310700744025
,Point 89,243.95153841574987,52.57620351984157,1095.0615867239824,8.98825048298095,11.447672527591296,7.56149685157501,26.902030439839546,0.6200655563661426,6.2527747724469025
,Point 90,239.03781203241272,1.463254337578428,1083.4364724712962,0.09875248647923265,13.36947127257711,0.13543397175924424,31.41825749055621,0.8641802928212193,6.019938195187091
,Point 92,339.0440518923492,19.021772749499583,1086.546603010255,0.9653188883950304,12.747622776935376,1.2087775145075332,29.956913525798136,0.8113476203065442,8.625933131953785
,Point 93,241.59009926673136,25.3671264706566,1080.7489920979924,1.5003070982411875,12.210402541197793,1.8973947239348816,28.694445971814815,0.8449306065746367,5.734001089798814
,Point 94,199.2387362250144,77.85606154728518,1069.8212870956636,17.77770667071855,13.822539807511271,15.556649159086039,32.48296854765149,0.7342921155595244,5.769596239546341
,Point 96,201.2870305908296,5.299641089982946,1090.4027678377356,0.6655858105406861,12.90562524402985,0.7215249969339257,30.328219323470147,0.9455571224694859,4.913144716990337
,Point 98,180.5361271660258,3.592051853099592,1082.2980912611124,0.216170949405449,9.51808341507701,0.2320796843275178,22.367496025430974,0.998632644340684,3.9673196958488415
