BLANK,Value,SNR_THRESHOLD,SNR_METHOD,NOISE_SAMPLE,FWHM_MIN,FWHM_MAX,R_SQUARED_MIN,BASELINING_METHOD,MHW,SHW,IND1,IND2,MHW_Manual,SHW_Manual
,,,,,,,,,,,,,25,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,25,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,25,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,35,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
,,,,,,,,,,,,,40,20
,,,,,,,,,,,,,30,20
