Point,Height,Mean,Sigma,FWHM,R^2,SNR
36.0,505.5567298952303,824.8047874788848,2.438006409934377,5.729315063345785,-inf,36.82526373879561
37.0,721.8488488529175,825.1273750062511,2.1332557512545223,5.013151015448128,,52.58020053271471
38.0,-151.38230386464065,824.969043937805,2.6079745518878275,6.128740196936395,-inf,-11.026840185387638
39.0,37.558658143954354,843.6451577772727,8.943946368733558,21.01827396652386,-0.623051137544357,2.7358106618677844
40.0,287.13794126738816,815.7662412366761,2.4788457472051832,5.825287505932181,-inf,20.915418174292082
41.0,-53.53762639749624,839.4305034580998,0.5328739352104426,1.2522537477445401,-inf,-3.8997348773212432
42.0,18.08805271061326,829.635707141194,1.2730958904750216,2.9917753426163007,-inf,1.3175520613237797
43.0,226.81049934586972,802.5118159707012,5.5325675843342035,13.001533823185378,0.9999304972576414,16.52110626411895
44.0,275.6579694980885,824.2306530345282,2.5444803832541028,5.979528900647142,-inf,20.079205414932716
45.0,25.690621594339884,818.7376667185903,-1.2584033003444572,-2.9572477558094747,,1.871330871257955
46.0,15.24195078712576,827.2510178138626,0.19046494967448002,0.44759263173502806,,1.110239117469505
47.0,-84.35823104921239,829.7093171431227,1.4828328071225185,3.4846570967379185,-inf,-6.144738905106228
48.0,-65.33791486043023,833.2941573506328,6.065527873678212,14.253990503143799,0.9846904006004829,-4.759279828748288
49.0,-313.9365740478997,823.8196358189068,2.3859024583782125,5.606870777188799,-inf,-22.867457701460445
50.0,-342.13534837965193,854.1362210668286,2.59482517701491,6.097839165985039,0.9999998573849376,-24.92148495591467
51.0,77.87635299476186,846.4957992297085,-5.653512077094667,-13.285753381172468,,5.672592349115729
52.0,-54.98813327484567,830.1572526241947,1.053322342769771,2.475307505508962,-inf,-4.005391265921587
53.0,138.74317927349762,827.6161446332372,5.380361291742566,12.64384903559503,0.9995594880857571,10.106193561629322
54.0,-114.11521374480019,830.5001562104865,-0.8973002196602773,-2.108655516201652,,-8.312267633411139
55.0,109.06733182314889,825.4085958844429,2.2962036519634346,5.396078582114072,-inf,7.944574806682019
56.0,39.56573170935479,829.5417850351622,1.5425910023534777,3.625088855530673,-inf,2.882007931171969
57.0,97.7981722937155,833.4022486731732,2.640178733255101,6.204420023149488,-inf,7.123717824178893
58.0,87.33257361917089,847.3760204329884,5.545444738148644,13.031795134649315,0.998859895869067,6.361393027406109
59.0,-184.6419915322264,754.6052044944786,-137.98040510531052,-324.25395199747976,,-13.449509487965482
60.0,76.9834286444168,830.2671046406418,1.6333678179128115,3.838414372095107,-inf,5.607550835956437
61.0,206.71467533760483,833.9044927874096,2.7217217672283764,6.396046152986685,-inf,15.057306109967827
62.0,59.49017981279642,829.5314833761921,-0.7243952441064643,-1.702328823650191,,4.33332489101392
63.0,175.0553691215429,849.9108641808521,6.032272120329299,14.175839482773855,0.9985598728231924,12.751210211619524
64.0,60.24167040718881,845.5165263617795,19.830831335070453,46.602453637415564,-0.4914527519369145,4.3880642262838885
66.0,27.458052146507857,829.7197540430923,1.295840860384271,3.045226021903037,-inf,2.000072301002306
67.0,-10.986370680585102,829.606980392088,-1.010737714220956,-2.3752336284192466,,-0.8002583566211464
68.0,-64.30407846287433,834.3087895501153,2.7327565344080513,6.421977855858921,0.9999067019309559,-4.683974139492302
69.0,-292.7783995050879,777.2514351415999,8.091058921612895,19.0139884657903,0.9288101488427045,-21.326274859463695
70.0,71.4213670920057,797.4142953242007,13.467006744440528,31.647465849435243,0.23983661044473192,5.202404644664708
